,LOC,GEO,ID,id,Sp,SpNr,X,Y,Stems,DBH,height,MeanSal,SE.sal,mean.pH,mean.T
63,2,IB,11,11,A,1,24.1,11.3,1,34,19.6,45.348,1.555194907,6.805,25.24
64,2,IB,12,12,A,1,0.8,8.4,1,1.7,2.4,45.348,1.555194907,6.805,25.24
65,2,IB,13,13,A,1,21.4,14.2,1,30.8,23.3,45.348,1.555194907,6.805,25.24
66,2,IB,14,14,A,1,20.6,15.8,1,37.5,17.8,45.348,1.555194907,6.805,25.24
67,2,IB,15,15,A,1,23.5,15.7,1,27,11.6,45.348,1.555194907,6.805,25.24
68,2,IB,16,16,A,1,24.1,14.8,1,35.7,20.2,45.348,1.555194907,6.805,25.24
69,2,IB,17,17,A,1,29.2,10.4,1,29.4,16.5,45.348,1.555194907,6.805,25.24
70,2,IB,18,18,A,1,28.9,13.8,1,15.85,10.4,45.348,1.555194907,6.805,25.24
71,2,IB,19,19,R,3,10.6,7,1,8,9,45.348,1.555194907,6.805,25.24
72,2,IB,21,21,R,3,8.9,1.2,1,6.2,9,45.348,1.555194907,6.805,25.24
73,2,IB,22,22,A,1,7.5,0.3,1,10.3,7.5,45.348,1.555194907,6.805,25.24
74,2,IB,23,23,A,1,6.5,7.4,1,57.7,19.7,45.348,1.555194907,6.805,25.24
75,2,IB,24,24,R,3,5.6,2.9,1,2.5,4.6,45.348,1.555194907,6.805,25.24
76,2,IB,25,25,R,3,6.4,0.7,1,4.2,6.1,45.348,1.555194907,6.805,25.24
77,2,IB,26,26,A,1,3,1.2,1,31.8,15.2,45.348,1.555194907,6.805,25.24
78,2,IB,27,27,A,1,2.2,6.7,2,73.3,17.2,45.348,1.555194907,6.805,25.24
79,2,IB,28,28,A,1,9.6,12.2,1,32,23.5,45.348,1.555194907,6.805,25.24
80,2,IB,29,29,A,1,6.7,11.5,1,32,18.3,45.348,1.555194907,6.805,25.24
81,2,IB,30,30,A,1,8.7,16.5,2,69.4,22.2,45.348,1.555194907,6.805,25.24
82,2,IB,61,61,R,3,0.7,22.6,1,9.7,10.7,45.348,1.555194907,6.805,25.24
83,2,IB,62,62,R,3,1.2,24.3,1,12.8,13,45.348,1.555194907,6.805,25.24
84,2,IB,69,69,R,3,6.9,21.1,1,16.7,12.5,45.348,1.555194907,6.805,25.24
85,2,IB,71,71,R,3,10.1,27.8,1,3.95,5.8,45.348,1.555194907,6.805,25.24
86,2,IB,72,72,R,3,14.1,19.3,1,7.1,7.6,45.348,1.555194907,6.805,25.24
87,2,IB,76,76,R,3,13.5,19.6,1,10.3,7.3,45.348,1.555194907,6.805,25.24
88,2,IB,78,78,A,1,17.4,21.2,1,39,19.2,45.348,1.555194907,6.805,25.24
89,2,IB,79,79,A,1,18.1,26.7,1,38,20.5,45.348,1.555194907,6.805,25.24
90,2,IB,80,80,R,3,21.2,28.9,1,7,10.2,45.348,1.555194907,6.805,25.24
91,2,IB,81,81,R,3,22.6,23.5,1,2,2.9,45.348,1.555194907,6.805,25.24
92,2,IB,82,82,A,1,23.9,28.3,1,5.5,5.4,45.348,1.555194907,6.805,25.24
93,2,IB,84,84,R,3,26.6,28.9,1,9.3,5.8,45.348,1.555194907,6.805,25.24
94,2,IB,85,85,A,1,26.9,27.3,1,3,2.88,45.348,1.555194907,6.805,25.24
95,2,IB,86,86,R,3,24.9,22.7,1,3,4.9,45.348,1.555194907,6.805,25.24
96,2,IB,87,87,A,1,27.5,24.1,1,28,13.7,45.348,1.555194907,6.805,25.24
97,2,IB,88,88,A,1,27.2,22.9,1,27,15.5,45.348,1.555194907,6.805,25.24
98,2,IB,89,89,R,3,29.5,28.5,1,1.5,1.75,45.348,1.555194907,6.805,25.24
99,2,IB,92,92,A,1,29.1,23.2,1,7,6.5,45.348,1.555194907,6.805,25.24
100,2,IB,94,94,A,1,29.6,17.6,1,5,5,45.348,1.555194907,6.805,25.24
101,2,IB,79 R,95,R,3,20.6,28.8,1,7,9.3,45.348,1.555194907,6.805,25.24
102,3,IB,1,1,A,1,29.4,25.1,1,33.9,14.6,41.601,1.26882418,6.901,25.53
103,3,IB,2,2,R,3,28.7,25,1,12.65,11.4,41.601,1.26882418,6.901,25.53
104,3,IB,3,3,A,1,25.2,24.2,1,33.8,11.6,41.601,1.26882418,6.901,25.53
105,3,IB,4,4,R,3,25.2,23.6,1,7.4,7,41.601,1.26882418,6.901,25.53
