,Geo,LOC,Tree1,Tree2,dist,pos1,pos2,h1,h2,dbh1,dbh2
73,MF,9,61,63,1.513274595,22.9+12.09i,23.1+10.59i,10.7,14,34.1,26.6
74,MF,9,60,61,3.504625515,26.2+13.27i,22.9+12.09i,11.8,21.3,26.5,34.1
75,MF,9,60,59,2.8467701,26.2+13.27i,28.85+14.31i,11.8,4.1,26.5,5.9
76,MF,9,66,65,1.177964346,23+6.99i,23.9+7.75i,18.2,13.1,25.6,22.4
77,MF,9,31,32,1.785189066,27.3+4.39i,26.55+2.77i,20.44,11.3,15,43.8
78,MF,9,35,36,1.783143292,12.55+2.44i,11.85+0.8i,1.8,16,28,66.6
79,MF,9,36,37,1.325745074,11.85+0.8i,10.55+1.06i,17.53,8.9,66.6,28.5
80,MF,9,37,38,3.20224921,10.55+1.06i,9.15+3.94i,22.13,19.8,28.5,72.2
81,MF,9,36,38,4.141207553,11.85+0.8i,9.15+3.94i,17.53,19.8,66.6,72.2
82,MF,9,39,1,2.138831457,4.25+8.17i,2.2+7.56i,17.08,14.5,20.3,22
83,MF,9,1,2,1.087474138,2.2+7.56i,1.75+8.55i,4.2,8.3,22,15.35
84,MF,9,41,40,1.009752445,4.75+13.25i,3.75+13.11i,10.53,7.5,35.5,12.5
85,MF,9,41,43,2.647640459,4.75+13.25i,5.25+15.85i,10.53,20.2,35.5,27.4
86,MF,9,70,69,2.62488095,9.65+13.95i,7.95+11.95i,25.9,17.5,21.8,37.7
87,MF,9,47,9,3.891657744,7.5+26.33i,8.85+29.98i,7.75,17.3,79.3,34.8
88,MF,9,12,48,3.634198674,16.65+29.05i,14.5+26.12i,9.46,25.9,30,62.6
89,MF,10,29,28,1.922082204,12.8+0.87i,13.2+2.75i,6.27,14.3,2.7,35
90,MF,10,28,27,0.834505842,13.2+2.75i,13.8+3.33i,8.4,20.3,35,33.3
91,MF,10,27,25,3.654531434,13.8+3.33i,17.2+1.99i,9.68,10,33.3,27.1
92,MF,10,25,23,1.705109967,17.2+1.99i,18.85+2.42i,3.38,13.4,27.1,28.6
93,MF,10,22,21,3.966182043,29.75+5.09i,26.6+7.5i,7.5,16.9,31.5,42.1
94,MF,10,20,21,2.006638981,27.65+9.21i,26.6+7.5i,17.03,16.9,14,42.1
95,MF,10,18,37,5.034381789,27.3+13.7i,23.15+16.55i,8.42,21.5,26,38.25
96,MF,10,37,36,3.182907476,23.15+16.55i,21.6+19.33i,22.13,11.9,38.25,42.25
97,MF,10,36,16,4.338133239,21.6+19.33i,25.85+20.2i,17.53,11.8,42.25,40.7
98,MF,10,37,38,6.113763162,23.15+16.55i,18.45+12.64i,22.13,14.5,38.25,39.7
99,MF,10,12,16,4.065095325,26.2+24.25i,25.85+20.2i,9.46,11.8,40.45,40.7
100,MF,10,35,36,5.363170704,16.6+21.27i,21.6+19.33i,1.8,11.9,35.95,42.25
101,MF,10,11,10,3.324169069,20.55+26.01i,19.9+29.27i,2,21,8.1,41
102,MF,10,5,6,2.110094785,0.65+20.7i,2.7+21.2i,10.02,18,64,49.6
103,MF,12,108,19,1.705784277,11.51+2.84i,12.92+1.88i,NA,8.3,29.3,17.2
104,MF,12,108,66,0.949210198,11.51+2.84i,11.78+3.75i,NA,6.6,29.3,16.4
105,MF,12,24,28,2.651886121,4.08+2.44i,1.43+2.34i,NA,9.7,43.3,17.8
106,MF,12,24,27,2.297302766,4.08+2.44i,2.34+0.94i,NA,7,43.3,14.3
107,MF,12,28,27,1.669760462,1.43+2.34i,2.34+0.94i,NA,7,17.8,14.3
108,MF,12,71,72,0.635609943,4.2+9.73i,4.06+10.35i,NA,10.2,11.1,10.3
109,MF,12,72,73,3.036379423,4.06+10.35i,5.56+12.99i,NA,11.1,10.3,12.6
110,MF,12,34,32,3.38245473,2.32+17.24i,2.03+13.87i,NA,12.3,35,85.7
111,MF,12,90,91,1.726296614,10.51+12.81i,9.75+14.36i,NA,17,20.1,17
112,MF,12,43,44,0.620322497,8.16+29.67i,8.78+29.65i,NA,7.9,6.7,15.1
113,MF,12,47,46,1.445060552,13.76+26.83i,12.55+27.62i,NA,10.5,19.1,26.35
114,MF,12,94,95,1.25574679,10.88+18.22i,9.68+18.59i,NA,11.6,23.5,9.3
115,MF,12,74,75,2.26291847,5.95+21.11i,7.53+22.73i,NA,4.2,21.35,10.4
116,MF,12,64,65,1.940773042,16.01+5.4i,14.56+6.69i,NA,9.7,30,16.6
117,MF,12,62,63,0.621771662,20.16+4.42i,19.61+4.13i,NA,9.3,54.9,12.2
118,MF,12,60,62,2.629239434,22.68+5.17i,20.16+4.42i,NA,12.8,28.9,54.9
119,MF,12,7,5,2.293163753,27.57+5.87i,29.26+7.42i,NA,14.1,15.7,21.96
120,MF,12,5,6,1.25,29.26+7.42i,29.61+6.22i,NA,15,21.96,26.7
121,MF,12,6,7,2.069806754,29.61+6.22i,27.57+5.87i,NA,14.2,26.7,15.7
122,MF,12,102,103,1.643471935,17.73+15.29i,16.64+14.06i,NA,9.8,13.4,22.7
123,MF,12,55,54,2.481954875,22.88+19.55i,25.03+20.79i,NA,15.3,50.1,42.6
124,MF,12,54,2,2.804175458,25.03+20.79i,27.38+19.26i,NA,12.7,42.6,14.8
125,MF,12,52,53,1.31487642,22.69+24.84i,23.77+24.09i,NA,8.3,19.2,38.9
126,MF,13,10,19,7.832400654,8.3+5.78i,15.63+3.02i,10.4,14.15,16.9,47.6
127,MF,13,19,11,4.452796874,15.63+3.02i,11.2+2.57i,14.15,14.5,47.6,53.3
128,MF,13,17,18,1.203536456,15.14+7.1i,15.32+5.91i,14.4,10.6,25.9,23.2
129,MF,13,17,12,3.029257335,15.14+7.1i,12.14+6.68i,14.4,13.6,25.9,22.75
130,MF,13,15,16,1.387083271,15.1+12.25i,14.08+11.31i,11.2,11,22.95,18.5
131,MF,13,14,15,2.915836072,12.49+13.55i,15.1+12.25i,17.8,11.2,33.55,22.95
132,MF,13,8,9,2.209072203,7.99+9.52i,6.83+7.64i,15,14,20.3,25.8
133,MF,13,9,10,2.370759372,6.83+7.64i,8.3+5.78i,14,10.4,25.8,16.9
134,MF,13,9,5,2.951694429,6.83+7.64i,4.84+9.82i,14,19,25.8,29
