"","lon","lat","id"
"4",-96.3869538861415,19.5635289414643,"3"
"5",-96.3883780136048,19.5644164264738,"2"
"6",-96.3872470444782,19.5654940071943,"1"
"7",-96.3888634944821,19.5673942590315,"10"
"10",-96.3948470269436,19.596936062107,"8"
"11",-96.3871217135207,19.5926885328415,"12"
"12",-96.3910219675577,19.5960639558169,"13"
"13",-96.3846719583352,19.5916030069397,"9"
