"","lon","lat","id"
"1",-96.3929948028935,19.5971711282237,"Lr 1"
"2",-96.385863116031,19.5585106354017,"Lr 2"
"3",-96.3844419900597,19.5592124215599,"Lr 3"
"8",-96.3915507261505,19.5673428462014,"7"
"9",-96.3900567444911,19.5743373892163,"6"
